time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1977-07-27T22:03:21.200Z,35.389,-84.356,12.6,3.5,mb_lg,,67,0.52161,0.3,se,se60001,2022-06-28T13:41:42.919Z,"6 km WNW of Tellico Plains, Tennessee",earthquake,,3,,,reviewed,se,us
1978-05-20T22:03:00.000Z,34.94,-84.32,,1.5,md,,,,,se,se60022,2022-06-28T13:43:15.262Z,"4 km NW of Mineral Bluff, Georgia",earthquake,,,,,reviewed,se,se
1978-05-21T23:00:00.000Z,34.72,-84.54,,1.6,md,,,,,se,se60023,2022-06-28T13:43:16.977Z,"Georgia, USA",earthquake,,,,,reviewed,se,se
1978-06-16T20:40:16.400Z,34.77,-85.04,0,2.3,md,,,,,se,se60025,2022-06-28T13:43:20.265Z,"6 km W of Dalton, Georgia",earthquake,,,,,reviewed,se,se
1979-07-19T10:27:03.900Z,35.229,-84.825,10.1,2.9,md,,255,0.62953,0.3,se,se60045,2022-06-28T13:43:48.706Z,"5 km E of Hopewell, Tennessee",earthquake,,2.8,,,reviewed,se,nm
1979-08-13T05:18:56.800Z,35.2,-84.353,22.2,3.7,mb_lg,,76,0.64751,0.3,se,se60047,2022-06-28T13:43:56.007Z,"18 km N of Ducktown, Tennessee",earthquake,,1.8,,,reviewed,se,us
1979-08-14T08:21:19.700Z,34.663,-85.318,6,1.6,md,,,,,se,se60048,2022-06-28T13:44:01.299Z,"5 km SW of LaFayette, Georgia",earthquake,,,,,reviewed,se,nm
1979-09-06T20:38:16.300Z,35.298,-83.241,10,3.2,md,,315,,0.8,se,se60049,2022-06-28T13:44:02.572Z,"4 km W of Forest Hills, North Carolina",earthquake,,99,,,reviewed,us,us
1979-09-12T06:24:04.100Z,35.579,-83.941,27.1,3.2,mb_lg,,93,0.16188,0.2,se,se60050,2022-06-28T13:44:07.896Z,"19 km S of Maryville, Tennessee",earthquake,,1.4,,,reviewed,se,us
1979-10-29T20:27:47.300Z,35.354,-84.778,6.6,2.5,md,,226,0.74644,0.2,se,se60055,2022-06-28T13:44:28.234Z,"6 km NNW of Calhoun, Tennessee",earthquake,,2.8,,,reviewed,se,nm
1980-01-24T04:12:08.800Z,35.575,-84.271,20.8,2,md,,157,0.33275,0.1,se,se60064,2022-06-28T13:44:49.039Z,"3 km WSW of Vonore, Tennessee",earthquake,,14.8,,,reviewed,se,se
1980-04-21T20:44:05.700Z,35.76,-84.13,5,2.8,md,,,,,se,se60069,2022-06-28T13:45:04.100Z,"0 km E of Friendsville, Tennessee",earthquake,,,,,reviewed,us,nm
1980-04-21T23:20:39.500Z,35.76,-84.12,5,2.6,md,,,,,se,se60070,2022-06-28T13:45:05.690Z,"1 km E of Friendsville, Tennessee",earthquake,,,,,reviewed,us,nm
1980-06-25T18:02:02.100Z,35.704,-83.974,13.3,3.3,mb_lg,,113,0.23382,0.2,se,se60077,2022-06-28T13:45:20.825Z,"5 km S of Maryville, Tennessee",earthquake,,2.2,,,reviewed,se,us
1981-02-03T14:26:50.000Z,35.312,-84.539,3.7,2.8,md,,114,0.62953,0.2,se,se60104,2022-06-28T13:47:15.119Z,"1 km SW of Etowah, Tennessee",earthquake,,3.3,,,reviewed,se,nm
1981-04-02T06:32:39.100Z,35.319,-84.524,5,2.8,md,,162,0.62053,0.3,se,se60113,2022-06-28T13:47:25.731Z,"0 km S of Etowah, Tennessee",earthquake,,3.5,,,reviewed,se,nm
1981-05-17T13:33:02.200Z,35.77,-83.98,9,1,md,,173,,0.1,se,se60123,2022-06-28T13:47:37.887Z,"1 km NNW of Maryville, Tennessee",earthquake,,,,,reviewed,nm,nm
1981-06-16T18:24:38.700Z,36,-83.69,5,1.6,md,,227,,0.3,se,se60127,2022-06-28T13:47:47.203Z,"8 km SE of Mascot, Tennessee",earthquake,,,,,reviewed,nm,nm
1981-09-04T17:21:44.500Z,34.634,-85.166,2.6,3,md,,139,1.04321,0.1,se,se60131,2022-06-28T13:47:56.044Z,"13 km SE of LaFayette, Georgia",earthquake,,1.1,,,reviewed,nm,nm
1981-09-28T18:03:35.100Z,34.573,-85.435,8.6,2.1,md,,139,0.2608,0.1,se,se60132,2022-06-28T13:48:01.147Z,"10 km NNE of Menlo, Georgia",earthquake,,1.1,,,reviewed,nm,nm
1981-11-25T11:54:26.100Z,35.647,-84.642,12.7,2.9,md,,74,0.31476,0.1,se,se60136,2022-06-28T13:48:09.876Z,"17 km WNW of Sweetwater, Tennessee",earthquake,,0.6,,,reviewed,nm,nm
